Age,Attrition,BusinessTravel,DailyRate,Department,Education,EducationField,EnvironmentSatisfaction,Gender,EmployeeNumber,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Experience_Band,Leadership_Flag,Income_Band,Promoted_Recently
45,No,Travel_Rarely,549,Research & Development,4,Other,4,Male,452,75,3,2,Research Scientist,4,Married,3697,9278,No,14,3,1,2,12,3,3,10,9,9,8,10+ years,No,Medium,Yes
40,No,Travel_Rarely,1124,Sales,2,Medical,2,Male,453,57,1,2,Sales Executive,4,Married,7457,13273,Yes,22,4,3,3,6,2,2,4,3,0,2,6-10 years,No,High,No
29,Yes,Travel_Rarely,318,Research & Development,4,Other,2,Male,454,77,1,1,Laboratory Technician,1,Married,2119,4759,Yes,11,3,4,0,7,4,2,7,7,0,7,6-10 years,No,Low,No
29,No,Travel_Rarely,738,Research & Development,5,Other,2,Male,455,30,2,1,Laboratory Technician,4,Single,3983,7621,No,17,3,3,0,4,2,3,3,2,2,2,3-5 years,No,Medium,Yes
30,No,Travel_Rarely,570,Sales,3,Marketing,4,Female,456,30,2,2,Sales Executive,3,Divorced,6118,5431,No,13,3,3,3,10,2,3,10,9,1,2,6-10 years,No,High,Yes
27,No,Travel_Rarely,1130,Sales,4,Marketing,2,Female,458,56,3,2,Sales Executive,2,Married,6214,3415,No,18,3,1,1,8,3,3,8,7,0,7,6-10 years,No,High,No
37,No,Travel_Rarely,1192,Research & Development,2,Medical,4,Male,460,61,3,2,Manufacturing Director,4,Divorced,6347,23177,No,16,3,3,2,8,2,2,6,2,0,4,6-10 years,No,High,No
38,No,Travel_Rarely,343,Research & Development,2,Life Sciences,3,Male,461,92,2,3,Research Director,4,Divorced,11510,15682,Yes,14,3,2,1,12,3,3,11,10,2,9,10+ years,No,Very High,Yes
31,No,Travel_Rarely,1232,Research & Development,4,Medical,3,Female,462,39,3,3,Manufacturing Director,4,Single,7143,25713,Yes,14,3,3,0,11,2,2,11,9,4,10,10+ years,No,High,Yes
29,No,Travel_Rarely,144,Sales,1,Marketing,4,Female,463,39,2,2,Sales Executive,2,Divorced,8268,11866,Yes,14,3,1,2,7,2,3,7,7,1,7,6-10 years,No,High,Yes
35,No,Travel_Rarely,1296,Research & Development,4,Technical Degree,3,Male,464,62,3,3,Manufacturing Director,2,Single,8095,18264,No,13,3,4,0,17,5,3,16,6,0,13,10+ years,No,High,No
23,No,Travel_Rarely,1309,Research & Development,1,Life Sciences,3,Male,465,83,3,1,Research Scientist,4,Divorced,2904,16092,No,12,3,3,2,4,2,2,4,2,0,2,3-5 years,No,Low,No
41,No,Travel_Rarely,483,Research & Development,3,Medical,4,Male,466,95,2,2,Manufacturing Director,2,Single,6032,10110,Yes,15,3,4,0,8,3,3,5,4,1,2,6-10 years,No,High,Yes
47,No,Travel_Frequently,1309,Sales,1,Medical,2,Male,467,99,3,2,Sales Representative,3,Single,2976,25751,No,19,3,1,0,5,3,3,0,0,0,0,3-5 years,No,Low,No
42,No,Travel_Rarely,810,Research & Development,5,Life Sciences,1,Female,468,44,3,4,Research Director,4,Single,15992,15901,No,14,3,2,0,16,2,3,1,0,0,0,10+ years,Yes,Very High,No
29,No,Non-Travel,746,Sales,3,Life Sciences,4,Male,469,61,3,2,Sales Executive,3,Married,4649,16928,No,14,3,1,1,4,3,2,4,3,0,2,3-5 years,No,Medium,No
42,No,Travel_Rarely,544,Human Resources,1,Technical Degree,3,Male,470,52,3,1,Human Resources,3,Divorced,2696,24017,Yes,11,3,3,1,4,5,3,3,2,1,0,3-5 years,No,Low,Yes
32,No,Travel_Rarely,1062,Research & Development,3,Medical,3,Female,471,75,3,1,Laboratory Technician,2,Married,2370,3956,No,13,3,3,1,8,4,3,8,0,0,7,6-10 years,No,Low,No
48,No,Travel_Rarely,530,Sales,1,Medical,1,Female,473,91,3,3,Manager,3,Married,12504,23978,No,21,4,2,1,15,3,1,0,0,0,0,10+ years,No,Very High,No
37,No,Travel_Rarely,1319,Research & Development,3,Medical,3,Male,474,51,4,2,Research Scientist,1,Divorced,5974,17001,Yes,13,3,1,2,13,2,3,7,7,6,7,10+ years,No,Medium,Yes
30,No,Non-Travel,641,Sales,2,Technical Degree,4,Female,475,85,3,2,Sales Executive,3,Married,4736,6069,Yes,12,3,2,1,4,2,4,2,2,2,2,3-5 years,No,Medium,Yes
26,No,Travel_Rarely,933,Sales,3,Life Sciences,3,Male,476,57,3,2,Sales Executive,3,Married,5296,20156,No,17,3,2,1,8,3,3,8,7,7,7,6-10 years,No,Medium,Yes
42,No,Travel_Rarely,1332,Research & Development,4,Other,1,Male,477,98,2,2,Healthcare Representative,4,Single,6781,17078,No,23,4,2,0,14,6,3,1,0,0,0,10+ years,No,High,No
21,Yes,Travel_Frequently,756,Sales,1,Technical Degree,1,Female,478,99,2,1,Sales Representative,2,Single,2174,9150,Yes,11,3,3,0,3,3,3,3,2,1,2,3-5 years,No,Low,Yes
36,No,Non-Travel,845,Sales,5,Medical,4,Female,479,45,3,2,Sales Executive,4,Single,6653,15276,No,15,3,2,0,7,6,3,1,0,0,0,6-10 years,No,High,No
36,No,Travel_Frequently,541,Sales,4,Medical,1,Male,481,48,2,3,Sales Executive,4,Married,9699,7246,No,11,3,1,1,16,2,3,13,9,1,12,10+ years,No,High,Yes
57,No,Travel_Rarely,593,Research & Development,4,Medical,4,Male,482,88,3,2,Healthcare Representative,3,Married,6755,2967,No,11,3,3,0,15,2,3,3,2,1,2,10+ years,No,High,Yes
40,No,Travel_Rarely,1171,Research & Development,4,Life Sciences,4,Female,483,46,4,1,Laboratory Technician,3,Married,2213,22495,Yes,13,3,3,1,10,3,3,7,7,1,7,6-10 years,No,Low,Yes
21,No,Non-Travel,895,Sales,2,Medical,1,Male,484,39,3,1,Sales Representative,4,Single,2610,2851,No,24,4,3,0,3,3,2,3,2,2,2,3-5 years,No,Low,Yes
33,Yes,Travel_Rarely,350,Sales,3,Marketing,4,Female,485,34,3,1,Sales Representative,3,Single,2851,9150,Yes,13,3,2,0,1,2,3,1,0,0,0,0-2 years,No,Low,No
37,No,Travel_Rarely,921,Research & Development,3,Medical,3,Female,486,98,3,1,Laboratory Technician,1,Married,3452,17663,No,20,4,2,1,17,3,3,5,4,0,3,10+ years,No,Medium,No
46,No,Non-Travel,1144,Research & Development,4,Medical,3,Female,487,30,3,2,Manufacturing Director,3,Married,5258,16044,No,14,3,3,0,7,2,4,1,0,0,0,6-10 years,No,Medium,No
41,Yes,Travel_Frequently,143,Sales,3,Marketing,1,Male,488,56,3,2,Sales Executive,2,Single,9355,9558,No,18,3,3,0,8,5,3,8,7,7,7,6-10 years,No,High,Yes
50,No,Travel_Rarely,1046,Research & Development,3,Technical Degree,4,Male,491,100,2,3,Healthcare Representative,4,Single,10496,2755,No,15,3,4,0,20,2,3,4,3,1,3,10+ years,No,Very High,Yes
40,Yes,Travel_Rarely,575,Sales,2,Marketing,3,Male,492,68,2,2,Sales Executive,3,Married,6380,6110,Yes,12,3,1,2,8,6,3,6,4,1,0,6-10 years,No,High,Yes
31,No,Travel_Rarely,408,Research & Development,4,Life Sciences,3,Male,493,42,2,1,Research Scientist,2,Single,2657,7551,Yes,16,3,4,0,3,5,3,2,2,2,2,3-5 years,No,Low,Yes
21,Yes,Travel_Rarely,156,Sales,3,Life Sciences,3,Female,494,90,4,1,Sales Representative,2,Single,2716,25422,No,15,3,4,0,1,0,3,1,0,0,0,0-2 years,No,Low,No
29,No,Travel_Rarely,1283,Research & Development,3,Life Sciences,4,Male,495,54,3,1,Research Scientist,4,Single,2201,18168,No,16,3,4,0,6,4,3,3,2,1,2,6-10 years,No,Low,Yes
35,No,Travel_Rarely,755,Research & Development,4,Life Sciences,3,Male,496,97,2,2,Healthcare Representative,2,Single,6540,19394,No,19,3,3,0,10,5,3,1,1,0,0,6-10 years,No,High,No
27,No,Travel_Rarely,1469,Research & Development,2,Medical,4,Male,497,82,3,1,Laboratory Technician,2,Divorced,3816,17881,No,11,3,2,1,5,2,3,5,2,0,4,3-5 years,No,Medium,No
28,No,Travel_Rarely,304,Sales,4,Life Sciences,2,Male,498,92,3,2,Sales Executive,4,Single,5253,20750,No,16,3,4,0,7,1,3,7,5,0,7,6-10 years,No,Medium,No
49,No,Travel_Rarely,1261,Research & Development,3,Other,2,Male,499,31,2,3,Healthcare Representative,3,Single,10965,12066,No,24,4,3,0,26,2,3,5,2,0,0,10+ years,No,Very High,No
51,No,Travel_Rarely,1178,Sales,2,Life Sciences,3,Female,500,87,3,2,Sales Executive,4,Married,4936,14862,No,11,3,3,1,18,2,2,7,7,0,7,10+ years,No,Medium,No
36,No,Travel_Rarely,329,Research & Development,3,Life Sciences,4,Female,501,96,3,1,Research Scientist,3,Married,2543,11868,No,13,3,2,1,6,3,3,2,2,2,2,6-10 years,No,Low,Yes
34,Yes,Non-Travel,1362,Sales,3,Marketing,1,Male,502,67,4,2,Sales Executive,4,Single,5304,4652,Yes,13,3,2,0,9,3,2,5,2,0,4,6-10 years,No,Medium,No
55,No,Travel_Rarely,1311,Research & Development,3,Life Sciences,3,Female,505,97,3,4,Manager,4,Single,16659,23258,Yes,13,3,3,0,30,2,3,5,4,1,2,10+ years,Yes,Very High,Yes
24,No,Travel_Rarely,1371,Sales,4,Marketing,4,Female,507,77,3,2,Sales Executive,3,Divorced,4260,5915,Yes,12,3,4,1,5,2,4,5,2,0,3,3-5 years,No,Medium,No
30,No,Travel_Rarely,202,Sales,1,Technical Degree,3,Male,508,72,3,1,Sales Representative,2,Married,2476,17434,No,18,3,1,1,1,3,3,1,0,0,0,0-2 years,No,Low,No
26,Yes,Travel_Frequently,575,Research & Development,1,Technical Degree,3,Male,510,73,3,1,Research Scientist,1,Single,3102,6582,No,22,4,3,0,7,2,3,6,4,0,4,6-10 years,No,Medium,No
22,No,Travel_Rarely,253,Research & Development,3,Medical,1,Female,511,43,3,1,Research Scientist,2,Married,2244,24440,No,13,3,4,1,2,1,3,2,1,1,2,0-2 years,No,Low,Yes
36,No,Travel_Rarely,164,Sales,2,Medical,2,Male,513,61,2,3,Sales Executive,3,Married,7596,3809,No,13,3,2,2,10,2,3,10,9,9,0,6-10 years,No,High,Yes
30,Yes,Travel_Frequently,464,Research & Development,3,Technical Degree,3,Male,514,40,3,1,Research Scientist,4,Single,2285,3427,Yes,23,4,3,0,3,4,3,1,0,0,0,3-5 years,No,Low,No
37,No,Travel_Rarely,1107,Research & Development,3,Life Sciences,4,Female,515,95,3,1,Laboratory Technician,1,Divorced,3034,26914,No,12,3,3,1,18,2,2,18,7,12,17,10+ years,No,Medium,Yes
40,No,Travel_Rarely,759,Sales,2,Marketing,4,Female,516,46,3,2,Sales Executive,2,Divorced,5715,22553,No,12,3,3,2,8,5,3,5,4,1,3,6-10 years,No,Medium,Yes
42,No,Travel_Rarely,201,Research & Development,4,Life Sciences,2,Female,517,95,3,1,Laboratory Technician,1,Divorced,2576,20490,No,16,3,2,1,8,5,3,5,2,1,2,6-10 years,No,Low,Yes
37,No,Travel_Rarely,1305,Research & Development,4,Life Sciences,3,Male,518,49,3,2,Manufacturing Director,2,Single,4197,21123,Yes,12,3,4,0,18,2,2,1,0,0,1,10+ years,No,Medium,No
43,No,Travel_Rarely,982,Research & Development,3,Life Sciences,1,Male,520,59,2,4,Research Director,2,Divorced,14336,4345,No,11,3,3,1,25,3,3,25,10,3,9,10+ years,Yes,Very High,Yes
40,No,Travel_Rarely,555,Research & Development,3,Medical,2,Female,521,78,2,2,Laboratory Technician,3,Married,3448,13436,No,22,4,2,1,20,3,3,1,0,0,0,10+ years,No,Medium,No
54,No,Travel_Rarely,821,Research & Development,2,Medical,1,Male,522,86,3,5,Research Director,1,Married,19406,8509,No,11,3,3,1,24,4,2,4,2,1,2,10+ years,Yes,Very High,Yes
34,No,Non-Travel,1381,Sales,4,Marketing,3,Female,523,72,3,2,Sales Executive,3,Married,6538,12740,No,15,3,1,1,6,3,3,3,2,1,2,6-10 years,No,High,Yes
31,No,Travel_Rarely,480,Research & Development,2,Medical,2,Female,524,31,3,2,Manufacturing Director,1,Married,4306,4156,No,12,3,2,1,13,5,1,13,10,3,12,10+ years,No,Medium,Yes
43,No,Travel_Frequently,313,Research & Development,3,Medical,4,Male,525,61,3,1,Laboratory Technician,4,Married,2258,15238,No,20,4,1,1,8,1,3,3,2,1,2,6-10 years,No,Low,Yes
43,No,Travel_Rarely,1473,Research & Development,4,Other,3,Female,526,74,3,2,Healthcare Representative,3,Divorced,4522,2227,Yes,14,3,4,0,8,3,3,5,2,0,2,6-10 years,No,Medium,No
25,No,Travel_Rarely,891,Sales,2,Life Sciences,2,Female,527,99,2,2,Sales Executive,4,Single,4487,12090,Yes,11,3,2,0,5,3,3,5,4,1,3,3-5 years,No,Medium,Yes
37,No,Non-Travel,1063,Research & Development,5,Medical,2,Female,529,72,3,2,Research Scientist,3,Married,4449,23866,Yes,15,3,1,2,15,2,3,13,11,10,7,10+ years,No,Medium,Yes
31,No,Travel_Rarely,329,Research & Development,2,Life Sciences,4,Male,530,98,2,1,Laboratory Technician,1,Married,2218,16193,No,12,3,3,1,4,3,3,4,2,3,2,3-5 years,No,Low,Yes
39,No,Travel_Frequently,1218,Research & Development,1,Life Sciences,2,Male,531,52,3,5,Manager,3,Divorced,19197,8213,Yes,14,3,3,1,21,3,3,21,8,1,6,10+ years,Yes,Very High,Yes
56,No,Travel_Frequently,906,Sales,3,Life Sciences,3,Female,532,86,4,4,Sales Executive,1,Married,13212,18256,No,11,3,4,3,36,0,2,7,7,7,7,10+ years,Yes,Very High,Yes
30,No,Travel_Rarely,1082,Sales,3,Technical Degree,2,Female,533,83,3,2,Sales Executive,3,Single,6577,19558,No,11,3,2,0,6,6,3,5,4,4,4,6-10 years,No,High,Yes
41,No,Travel_Rarely,645,Sales,3,Marketing,2,Male,534,49,4,3,Sales Executive,1,Married,8392,19566,No,16,3,3,1,10,2,3,10,7,0,7,6-10 years,No,High,No
28,No,Travel_Rarely,1300,Research & Development,2,Medical,3,Male,536,79,3,2,Laboratory Technician,1,Divorced,4558,13535,No,12,3,4,1,10,2,3,10,0,1,8,6-10 years,No,Medium,Yes
25,Yes,Travel_Rarely,688,Research & Development,3,Medical,1,Male,538,91,3,1,Laboratory Technician,1,Married,4031,9396,No,13,3,3,1,6,5,3,2,2,0,2,6-10 years,No,Medium,No
52,No,Travel_Rarely,319,Research & Development,3,Medical,4,Male,543,39,2,3,Manufacturing Director,3,Married,7969,19609,Yes,14,3,3,0,28,4,3,5,4,0,4,10+ years,No,High,No
45,No,Travel_Rarely,192,Research & Development,2,Life Sciences,1,Male,544,69,3,1,Research Scientist,4,Married,2654,9655,No,21,4,4,2,8,3,2,2,2,0,2,6-10 years,No,Low,No
52,No,Travel_Rarely,1490,Research & Development,2,Life Sciences,4,Female,546,30,3,4,Manager,4,Married,16555,10310,No,13,3,4,0,31,2,1,5,2,1,4,10+ years,Yes,Very High,Yes
42,No,Travel_Frequently,532,Research & Development,2,Life Sciences,1,Female,547,92,3,2,Research Scientist,3,Divorced,4556,12932,No,11,3,2,1,19,3,3,5,4,0,2,10+ years,No,Medium,No
30,No,Travel_Rarely,317,Research & Development,3,Life Sciences,3,Female,548,43,1,2,Manufacturing Director,4,Single,6091,24793,No,20,4,3,0,11,2,3,5,4,0,2,10+ years,No,High,No
60,No,Travel_Rarely,422,Research & Development,3,Life Sciences,1,Female,549,41,3,5,Manager,1,Married,19566,3854,No,11,3,4,0,33,5,1,29,8,11,10,10+ years,Yes,Very High,Yes
46,No,Travel_Rarely,1485,Research & Development,3,Medical,3,Female,550,87,3,2,Manufacturing Director,3,Divorced,4810,26314,No,14,3,3,1,19,5,2,10,7,0,8,10+ years,No,Medium,No
42,No,Travel_Frequently,1368,Research & Development,4,Technical Degree,4,Female,551,88,2,2,Healthcare Representative,4,Married,4523,4386,No,11,3,4,3,7,4,4,6,5,0,4,6-10 years,No,Medium,No
24,Yes,Travel_Rarely,1448,Sales,1,Technical Degree,1,Female,554,62,3,1,Sales Representative,2,Single,3202,21972,Yes,16,3,2,0,6,4,3,5,3,1,4,6-10 years,No,Medium,Yes
34,Yes,Travel_Frequently,296,Sales,2,Marketing,4,Female,555,33,1,1,Sales Representative,3,Divorced,2351,12253,No,16,3,4,1,3,3,2,2,2,1,0,3-5 years,No,Low,Yes
38,No,Travel_Frequently,1490,Research & Development,2,Life Sciences,4,Male,556,42,3,1,Laboratory Technician,4,Married,1702,12106,Yes,23,4,3,1,1,3,3,1,0,0,0,0-2 years,No,Low,No
40,No,Travel_Rarely,1398,Sales,4,Life Sciences,3,Female,558,79,3,5,Manager,3,Married,18041,13022,No,14,3,4,0,21,2,3,20,15,1,12,10+ years,Yes,Very High,Yes
26,No,Travel_Rarely,1349,Research & Development,3,Life Sciences,1,Female,560,90,3,1,Research Scientist,4,Divorced,2886,3032,No,22,4,2,2,3,3,1,3,2,0,2,3-5 years,No,Low,No
30,No,Non-Travel,1400,Research & Development,3,Life Sciences,3,Male,562,53,3,1,Laboratory Technician,4,Married,2097,16734,No,15,3,3,1,9,3,1,5,3,1,4,6-10 years,No,Low,Yes
29,No,Travel_Rarely,986,Research & Development,4,Medical,2,Male,564,93,2,3,Research Director,3,Married,11935,21526,No,18,3,3,0,10,2,3,10,2,0,7,6-10 years,No,Very High,No
29,Yes,Travel_Rarely,408,Research & Development,5,Technical Degree,3,Female,565,71,2,1,Research Scientist,2,Married,2546,18300,No,16,3,2,0,6,2,4,2,2,1,1,6-10 years,No,Low,Yes
19,Yes,Travel_Rarely,489,Human Resources,2,Technical Degree,1,Male,566,52,2,1,Human Resources,4,Single,2564,18437,No,12,3,3,0,1,3,4,1,0,0,0,0-2 years,No,Low,No
30,No,Non-Travel,1398,Sales,4,Other,3,Female,567,69,3,3,Sales Executive,1,Married,8412,2890,No,11,3,3,0,10,3,3,9,8,7,8,6-10 years,No,High,Yes
57,No,Travel_Rarely,210,Sales,3,Marketing,1,Male,568,56,2,4,Manager,4,Divorced,14118,22102,No,12,3,3,1,32,3,2,1,0,0,0,10+ years,Yes,Very High,No
50,No,Travel_Rarely,1099,Research & Development,4,Life Sciences,2,Male,569,88,2,4,Manager,3,Married,17046,9314,No,15,3,2,1,28,2,3,27,10,15,7,10+ years,Yes,Very High,Yes
30,No,Non-Travel,1116,Research & Development,3,Medical,3,Female,571,49,3,1,Laboratory Technician,4,Single,2564,7181,No,14,3,3,0,12,2,2,11,7,6,7,10+ years,No,Low,Yes
60,No,Travel_Frequently,1499,Sales,3,Marketing,3,Female,573,80,2,3,Sales Executive,1,Married,10266,2845,No,19,3,4,0,22,5,4,18,13,13,11,10+ years,No,Very High,Yes
47,No,Travel_Rarely,983,Research & Development,2,Medical,1,Female,574,65,3,2,Manufacturing Director,4,Divorced,5070,7389,No,13,3,3,3,20,2,3,5,0,0,4,10+ years,No,Medium,No
46,No,Travel_Rarely,1009,Research & Development,3,Life Sciences,1,Male,575,51,3,4,Research Director,3,Married,17861,2288,No,13,3,3,0,26,2,1,3,2,0,1,10+ years,Yes,Very High,No
35,No,Travel_Rarely,144,Research & Development,3,Life Sciences,4,Male,577,46,1,1,Laboratory Technician,3,Single,4230,19225,No,15,3,3,0,6,2,3,5,4,4,3,6-10 years,No,Medium,Yes
54,No,Travel_Rarely,548,Research & Development,4,Life Sciences,3,Female,578,42,3,2,Laboratory Technician,3,Single,3780,23428,No,11,3,3,0,19,3,3,1,0,0,0,10+ years,No,Medium,No
34,No,Travel_Rarely,1303,Research & Development,4,Life Sciences,4,Male,579,62,2,1,Research Scientist,3,Divorced,2768,8416,No,12,3,3,1,14,3,3,7,3,5,7,10+ years,No,Low,Yes
46,No,Travel_Rarely,1125,Sales,3,Marketing,3,Female,580,94,2,3,Sales Executive,4,Married,9071,11563,Yes,19,3,3,1,15,3,3,3,2,1,2,10+ years,No,High,Yes
31,No,Travel_Rarely,1274,Research & Development,1,Life Sciences,3,Male,581,33,3,3,Manufacturing Director,2,Divorced,10648,14394,No,25,4,4,1,13,6,4,13,8,0,8,10+ years,No,Very High,No
33,Yes,Travel_Rarely,1277,Research & Development,1,Medical,2,Male,582,56,3,3,Manager,3,Married,13610,24619,Yes,12,3,4,0,15,2,4,7,6,7,7,10+ years,No,Very High,Yes
33,Yes,Travel_Rarely,587,Research & Development,1,Medical,1,Male,584,38,1,1,Laboratory Technician,4,Divorced,3408,6705,No,13,3,1,3,8,2,3,4,3,1,3,6-10 years,No,Medium,Yes
30,No,Travel_Rarely,413,Sales,1,Marketing,4,Male,585,57,3,1,Sales Representative,2,Single,2983,18398,No,14,3,1,0,4,3,3,3,2,1,2,3-5 years,No,Low,Yes
35,No,Travel_Rarely,1276,Research & Development,3,Life Sciences,4,Male,586,72,3,3,Healthcare Representative,3,Married,7632,14295,Yes,12,3,3,0,10,2,3,8,7,0,0,6-10 years,No,High,No
31,Yes,Travel_Frequently,534,Research & Development,3,Life Sciences,1,Male,587,66,3,3,Healthcare Representative,3,Married,9824,22908,No,12,3,1,0,12,2,3,1,0,0,0,10+ years,No,High,No
34,Yes,Travel_Frequently,988,Human Resources,3,Human Resources,2,Female,590,43,3,3,Human Resources,1,Divorced,9950,11533,Yes,15,3,3,3,11,2,3,3,2,0,2,10+ years,No,High,No
42,No,Travel_Frequently,1474,Research & Development,2,Other,2,Male,591,97,3,1,Laboratory Technician,3,Married,2093,9260,No,17,3,4,1,8,4,3,2,2,2,0,6-10 years,No,Low,Yes
36,No,Non-Travel,635,Sales,4,Medical,2,Male,592,32,3,3,Sales Executive,4,Single,9980,15318,No,14,3,4,0,10,3,2,10,3,9,7,6-10 years,No,High,Yes
22,Yes,Travel_Frequently,1368,Research & Development,1,Technical Degree,3,Male,593,99,2,1,Laboratory Technician,3,Single,3894,9129,No,16,3,3,0,4,3,3,2,2,1,2,3-5 years,No,Medium,Yes
48,No,Travel_Rarely,163,Sales,5,Marketing,2,Female,595,37,3,2,Sales Executive,4,Married,4051,19658,No,14,3,1,1,14,2,3,9,7,6,7,10+ years,No,Medium,Yes
55,No,Travel_Rarely,1117,Sales,5,Life Sciences,1,Female,597,83,3,4,Manager,2,Single,16835,9873,No,23,4,4,0,37,2,3,10,9,7,7,10+ years,Yes,Very High,Yes
41,No,Non-Travel,267,Sales,2,Life Sciences,4,Male,599,56,3,2,Sales Executive,4,Single,6230,13430,No,14,3,4,0,16,3,3,14,3,1,10,10+ years,No,High,Yes
35,No,Travel_Rarely,619,Sales,3,Marketing,2,Male,600,85,3,2,Sales Executive,3,Married,4717,18659,No,11,3,3,0,15,2,3,11,9,6,9,10+ years,No,Medium,Yes
40,No,Travel_Rarely,302,Research & Development,3,Life Sciences,2,Female,601,75,3,4,Manufacturing Director,3,Single,13237,20364,No,15,3,3,0,22,3,3,20,6,5,13,10+ years,Yes,Very High,Yes
39,No,Travel_Frequently,443,Research & Development,1,Life Sciences,3,Female,602,48,3,1,Laboratory Technician,3,Married,3755,17872,No,11,3,1,1,8,3,3,8,3,0,7,6-10 years,No,Medium,No
31,No,Travel_Rarely,828,Sales,1,Life Sciences,2,Male,604,77,3,2,Sales Executive,4,Single,6582,8346,Yes,13,3,3,0,10,2,4,6,5,0,5,6-10 years,No,High,No
42,No,Travel_Rarely,319,Research & Development,3,Medical,4,Male,605,56,3,3,Manufacturing Director,1,Married,7406,6950,Yes,21,4,4,1,10,5,2,10,9,5,8,6-10 years,No,High,Yes
45,No,Travel_Rarely,561,Sales,3,Other,4,Male,606,61,3,2,Sales Executive,2,Married,4805,16177,No,19,3,2,1,9,3,4,8,7,3,7,6-10 years,No,Medium,Yes
26,Yes,Travel_Frequently,426,Human Resources,4,Life Sciences,2,Female,608,58,3,1,Human Resources,3,Divorced,2741,22808,Yes,11,3,2,1,8,2,2,7,7,1,0,6-10 years,No,Low,Yes
29,No,Travel_Rarely,232,Research & Development,3,Technical Degree,4,Male,611,34,3,2,Manufacturing Director,4,Divorced,4262,22645,No,12,3,2,2,8,2,4,3,2,1,2,6-10 years,No,Medium,Yes
33,No,Travel_Rarely,922,Research & Development,5,Medical,1,Female,612,95,4,4,Research Director,3,Divorced,16184,22578,No,19,3,3,1,10,2,3,6,1,0,5,6-10 years,Yes,Very High,No
31,No,Travel_Rarely,688,Sales,3,Life Sciences,3,Male,613,44,2,3,Manager,4,Divorced,11557,25291,No,21,4,3,1,10,3,2,5,4,0,1,6-10 years,No,Very High,No
18,Yes,Travel_Frequently,1306,Sales,3,Marketing,2,Male,614,69,3,1,Sales Representative,2,Single,1878,8059,Yes,14,3,4,0,0,3,3,0,0,0,0,0-2 years,No,Low,No
40,No,Non-Travel,1094,Sales,3,Other,3,Male,615,58,1,3,Sales Executive,1,Divorced,10932,11373,No,15,3,3,1,20,2,3,1,0,0,1,10+ years,No,Very High,No
41,No,Non-Travel,509,Research & Development,4,Other,1,Female,616,62,2,2,Healthcare Representative,3,Single,6811,2112,Yes,17,3,1,0,10,3,3,8,7,0,7,6-10 years,No,High,No
26,No,Travel_Rarely,775,Sales,2,Medical,1,Male,618,45,3,2,Sales Executive,3,Divorced,4306,4267,No,12,3,1,2,8,5,3,0,0,0,0,6-10 years,No,Medium,No
35,No,Travel_Rarely,195,Sales,3,Medical,1,Female,620,80,3,2,Sales Executive,3,Single,4859,6698,No,16,3,4,0,5,3,3,5,4,0,3,3-5 years,No,Medium,No
34,No,Travel_Rarely,258,Sales,4,Life Sciences,4,Male,621,74,4,2,Sales Executive,4,Single,5337,19921,No,12,3,4,0,10,3,3,10,7,5,7,6-10 years,No,Medium,Yes
26,Yes,Travel_Rarely,471,Research & Development,3,Technical Degree,3,Male,622,66,1,1,Laboratory Technician,4,Single,2340,23213,Yes,18,3,2,0,1,3,1,1,0,0,0,0-2 years,No,Low,No
37,No,Travel_Rarely,799,Research & Development,3,Technical Degree,2,Female,623,59,3,3,Manufacturing Director,4,Single,7491,23848,No,17,3,4,0,12,3,4,6,5,1,2,10+ years,No,High,Yes
46,No,Travel_Frequently,1034,Research & Development,1,Medical,1,Female,624,86,3,3,Healthcare Representative,3,Married,10527,8984,No,11,3,4,0,28,3,2,2,2,1,2,10+ years,No,Very High,Yes
41,No,Travel_Rarely,1276,Sales,5,Life Sciences,2,Female,625,91,3,4,Manager,1,Married,16595,5626,No,16,3,2,1,22,2,3,18,16,11,8,10+ years,Yes,Very High,Yes
37,No,Non-Travel,142,Sales,4,Medical,1,Male,626,69,3,3,Sales Executive,2,Divorced,8834,24666,No,13,3,4,1,9,6,3,9,5,7,7,6-10 years,No,High,Yes
52,No,Travel_Rarely,956,Research & Development,2,Technical Degree,4,Male,630,78,3,2,Research Scientist,1,Divorced,5577,22087,Yes,12,3,2,2,18,3,3,10,9,6,9,10+ years,No,Medium,Yes
32,Yes,Non-Travel,1474,Sales,4,Other,4,Male,631,60,4,2,Sales Executive,3,Married,4707,23914,No,12,3,4,0,6,2,3,4,2,1,2,6-10 years,No,Medium,Yes
24,No,Travel_Frequently,535,Sales,3,Medical,4,Male,632,38,3,1,Sales Representative,4,Married,2400,5530,No,13,3,3,2,3,3,3,2,2,2,1,3-5 years,No,Low,Yes
38,No,Travel_Rarely,1495,Research & Development,3,Medical,3,Female,634,76,3,2,Healthcare Representative,3,Married,9824,22174,No,19,3,3,1,18,4,3,1,0,0,0,10+ years,No,High,No
